home_form_last8,away_form_last8,home_goal_avg,away_goal_avg,home_conceded_avg,away_conceded_avg,home_xg_proxy,away_xg_proxy,home_shots_avg,away_shots_avg,home_sot_avg,away_sot_avg,home_corners_avg,away_corners_avg,home_cards_avg,away_cards_avg,head_to_head_score,home_league_position,away_league_position,home_home_win_rate,away_away_win_rate,home_advantage,home_strength_score,away_strength_score,goal_diff_ratio,position_diff,form_diff,xg_diff,result
0.5,0.5,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,10,10,0.45,0.3,0.08,2.2081,2.2081,0.0,0.0,0.0,0.0,draw
0.5,0.5,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,10,10,0.45,0.3,0.08,2.2081,2.2081,0.0,0.0,0.0,0.0,home_win
0.5,0.5,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,10,10,0.45,0.3,0.08,2.2081,2.2081,0.0,0.0,0.0,0.0,home_win
0.5,0.5,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,10,10,0.45,0.3,0.08,2.2081,2.2081,0.0,0.0,0.0,0.0,draw
0.5,0.5,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,10,10,0.45,0.3,0.08,2.2081,2.2081,0.0,0.0,0.0,0.0,home_win
0.5,0.5,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,10,10,0.45,0.3,0.08,2.2081,2.2081,0.0,0.0,0.0,0.0,home_win
0.5,0.5,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,10,10,0.45,0.3,0.08,2.2081,2.2081,0.0,0.0,0.0,0.0,home_win
0.5,0.5,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,10,10,0.45,0.3,0.08,2.2081,2.2081,0.0,0.0,0.0,0.0,away_win
0.5,0.5,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,10,10,0.45,0.3,0.08,2.2081,2.2081,0.0,0.0,0.0,0.0,home_win
0.5,0.5,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,10,10,0.45,0.3,0.08,2.2081,2.2081,0.0,0.0,0.0,0.0,draw
0.0,0.33,1.0,1.0,3.0,1.0,0.25,0.3158,12.0,12.0,3.0,2.0,4.0,7.0,1.0,2.0,0.5,19,10,0.45,0.3,-0.25,0.5773,0.7144,0.0,-0.45,-0.33,-0.0658,home_win
0.33,1.0,1.0,0.0,1.0,1.0,0.0909,0.25,11.0,12.0,1.0,5.0,3.0,4.0,2.0,3.0,0.5,13,1,0.45,0.3,-0.59,0.5914,1.1743,1.0,-0.6,-0.67,-0.1591,home_win
