season,match_date,home_team,away_team,home_goals,away_goals,home_ht_goals,away_ht_goals,shots_home,shots_away,shots_on_target_home,shots_on_target_away,corners_home,corners_away,fouls_home,fouls_away,yellow_home,yellow_away,red_home,red_away,result
2014-15,2014-08-23,Almeria,Espanol,1,1,0,0,19,12,6,2,11,7,8,9,3,2,0,1,draw
2014-15,2014-08-23,Granada,La Coruna,2,1,0,1,10,7,3,1,5,3,13,26,1,2,0,0,home_win
2014-15,2014-08-23,Malaga,Ath Bilbao,1,0,1,0,12,12,3,5,5,4,13,9,3,3,2,0,home_win
2014-15,2014-08-23,Sevilla,Valencia,1,1,1,0,10,11,3,1,3,3,23,8,4,2,0,1,draw
2014-15,2014-08-24,Barcelona,Elche,3,0,1,0,12,3,6,0,3,1,11,13,0,1,1,0,home_win
2014-15,2014-08-24,Celta,Getafe,3,1,1,0,20,12,8,3,4,4,19,15,4,1,0,0,home_win
2014-15,2014-08-24,Eibar,Sociedad,1,0,1,0,12,19,5,4,5,6,13,14,4,1,0,0,home_win
2014-15,2014-08-24,Levante,Villarreal,0,2,0,0,9,12,2,6,3,4,11,14,1,3,0,0,away_win
2014-15,2014-08-25,Real Madrid,Cordoba,2,0,1,0,14,8,8,2,8,5,9,13,1,2,0,0,home_win
2014-15,2014-08-25,Vallecano,Ath Madrid,0,0,0,0,8,9,2,2,2,4,13,17,2,2,0,0,draw
2014-15,2014-08-29,Getafe,Almeria,1,0,1,0,12,11,3,4,2,3,17,11,3,2,0,0,home_win
2014-15,2014-08-29,Valencia,Malaga,3,0,2,0,14,17,4,4,4,6,18,11,1,2,0,1,home_win
2014-15,2014-08-30,Espanol,Sevilla,1,2,0,1,4,13,2,6,3,7,20,24,4,2,0,0,away_win
2014-15,2014-08-30,Cordoba,Celta,1,1,0,0,6,9,1,4,1,6,14,17,1,4,0,0,draw
2014-15,2014-08-30,Ath Bilbao,Levante,3,0,1,0,10,10,5,2,2,11,13,17,1,4,0,0,home_win
2014-15,2014-08-30,Ath Madrid,Eibar,2,1,2,1,15,8,6,2,5,5,12,18,3,0,0,0,home_win
2014-15,2014-08-31,Elche,Granada,1,1,0,0,15,5,3,4,8,4,12,17,4,4,0,0,draw
2014-15,2014-08-31,La Coruna,Vallecano,2,2,1,1,10,12,5,2,2,4,16,18,4,6,0,0,draw
2014-15,2014-08-31,Sociedad,Real Madrid,4,2,2,2,13,19,5,5,8,6,18,12,1,2,0,0,home_win
